2017-05-23,Round 0,Hiroshima Toyo Carp,3,Tokyo Yakult Swallows,2
2017-05-23,Round 0,Hanshin Tigers,0,Yomiuri Giants,1
2017-05-23,Round 0,Fukuoka SoftBank Hawks,6,Chiba Lotte Marines,1
2017-05-24,Round 0,Yokohama DeNA BayStars,2,Chunichi Dragons,4
2017-05-24,Round 0,Hiroshima Toyo Carp,6,Tokyo Yakult Swallows,1
2017-05-24,Round 0,Hanshin Tigers,1,Yomiuri Giants,3
2017-05-24,Round 0,Fukuoka SoftBank Hawks,10,Chiba Lotte Marines,4
2017-05-25,Round 0,Fukuoka SoftBank Hawks,7,Chiba Lotte Marines,12
2017-05-25,Round 0,Hanshin Tigers,6,Yomiuri Giants,1
2017-05-25,Round 0,Orix Buffaloes,1,Tohoku Rakuten Golden Eagles,4
2017-05-25,Round 0,Saitama Seibu Lions,8,Hokkaido Nippon-Ham Fighters,5
2017-05-25,Round 0,Yokohama DeNA BayStars,13,Chunichi Dragons,5
2017-05-26,Round 0,Yomiuri Giants,2,Hiroshima Toyo Carp,7
2017-05-26,Round 0,Tohoku Rakuten Golden Eagles,1,Saitama Seibu Lions,5
2017-05-26,Round 0,Hokkaido Nippon-Ham Fighters,7,Fukuoka SoftBank Hawks,5
2017-05-26,Round 0,Hanshin Tigers,2,Yokohama DeNA BayStars,5
2017-05-26,Round 0,Chunichi Dragons,3,Tokyo Yakult Swallows,2
2017-05-26,Round 0,Chiba Lotte Marines,5,Orix Buffaloes,4
2017-05-27,Round 0,Tohoku Rakuten Golden Eagles,6,Saitama Seibu Lions,1
2017-05-27,Round 0,Hanshin Tigers,9,Yokohama DeNA BayStars,2
2017-05-27,Round 0,Chunichi Dragons,4,Tokyo Yakult Swallows,2
2017-05-27,Round 0,Chiba Lotte Marines,2,Orix Buffaloes,1
2017-05-27,Round 0,Hokkaido Nippon-Ham Fighters,8,Fukuoka SoftBank Hawks,13
2017-05-27,Round 0,Yomiuri Giants,0,Hiroshima Toyo Carp,9
2017-05-28,Round 0,Tohoku Rakuten Golden Eagles,13,Saitama Seibu Lions,2
2017-05-28,Round 0,Yomiuri Giants,2,Hiroshima Toyo Carp,3
2017-05-28,Round 0,Hokkaido Nippon-Ham Fighters,1,Fukuoka SoftBank Hawks,6
2017-05-28,Round 0,Hanshin Tigers,2,Yokohama DeNA BayStars,6
2017-05-28,Round 0,Chunichi Dragons,1,Tokyo Yakult Swallows,7
2017-05-28,Round 0,Chiba Lotte Marines,1,Orix Buffaloes,2
2017-05-30,Round 0,Saitama Seibu Lions,0,Hiroshima Toyo Carp,5
2017-05-30,Round 0,Tohoku Rakuten Golden Eagles,13,Yomiuri Giants,5
2017-05-30,Round 0,Orix Buffaloes,9,Tokyo Yakult Swallows,1
2017-05-30,Round 0,Hokkaido Nippon-Ham Fighters,0,Yokohama DeNA BayStars,3
2017-05-30,Round 0,Fukuoka SoftBank Hawks,10,Chunichi Dragons,2
2017-05-30,Round 0,Chiba Lotte Marines,7,Hanshin Tigers,15
2017-05-31,Round 0,Saitama Seibu Lions,4,Hiroshima Toyo Carp,9
2017-05-31,Round 0,Orix Buffaloes,2,Tokyo Yakult Swallows,1
2017-05-31,Round 0,Hokkaido Nippon-Ham Fighters,6,Yokohama DeNA BayStars,1
2017-05-31,Round 0,Fukuoka SoftBank Hawks,7,Chunichi Dragons,2
2017-05-31,Round 0,Tohoku Rakuten Golden Eagles,6,Yomiuri Giants,0
2017-05-31,Round 0,Chiba Lotte Marines,0,Hanshin Tigers,5
2017-06-01,Round 0,Saitama Seibu Lions,4,Hiroshima Toyo Carp,2
2017-06-01,Round 0,Orix Buffaloes,3,Tokyo Yakult Swallows,2
2017-06-01,Round 0,Hokkaido Nippon-Ham Fighters,5,Yokohama DeNA BayStars,3
2017-06-01,Round 0,Fukuoka SoftBank Hawks,1,Chunichi Dragons,5
2017-06-01,Round 0,Chiba Lotte Marines,8,Hanshin Tigers,1
2017-06-01,Round 0,Tohoku Rakuten Golden Eagles,3,Yomiuri Giants,2
2017-06-02,Round 0,Hanshin Tigers,2,Hokkaido Nippon-Ham Fighters,4
2017-06-02,Round 0,Chunichi Dragons,6,Tohoku Rakuten Golden Eagles,3
2017-06-02,Round 0,Yokohama DeNA BayStars,4,Fukuoka SoftBank Hawks,6
2017-06-02,Round 0,Hiroshima Toyo Carp,4,Chiba Lotte Marines,5
2017-06-02,Round 0,Tokyo Yakult Swallows,2,Saitama Seibu Lions,3
2017-06-02,Round 0,Yomiuri Giants,5,Orix Buffaloes,6
2017-06-03,Round 0,Yomiuri Giants,4,Orix Buffaloes,5
2017-06-03,Round 0,Yokohama DeNA BayStars,3,Fukuoka SoftBank Hawks,7
2017-06-03,Round 0,Tokyo Yakult Swallows,2,Saitama Seibu Lions,11
2017-06-03,Round 0,Hiroshima Toyo Carp,6,Chiba Lotte Marines,5
2017-06-03,Round 0,Chunichi Dragons,1,Tohoku Rakuten Golden Eagles,5
2017-06-03,Round 0,Hanshin Tigers,4,Hokkaido Nippon-Ham Fighters,2
2017-06-04,Round 0,Yokohama DeNA BayStars,5,Fukuoka SoftBank Hawks,3
2017-06-04,Round 0,Tokyo Yakult Swallows,8,Saitama Seibu Lions,8
2017-06-04,Round 0,Hiroshima Toyo Carp,7,Chiba Lotte Marines,1
2017-06-04,Round 0,Yomiuri Giants,1,Orix Buffaloes,3
2017-06-04,Round 0,Chunichi Dragons,2,Tohoku Rakuten Golden Eagles,0
2017-06-04,Round 0,Hanshin Tigers,4,Hokkaido Nippon-Ham Fighters,3
2017-06-06,Round 0,Tohoku Rakuten Golden Eagles,1,Yokohama DeNA BayStars,9
2017-06-06,Round 0,Saitama Seibu Lions,8,Yomiuri Giants,5
2017-06-06,Round 0,Orix Buffaloes,4,Hanshin Tigers,11
2017-06-06,Round 0,Hokkaido Nippon-Ham Fighters,3,Hiroshima Toyo Carp,4
2017-06-06,Round 0,Fukuoka SoftBank Hawks,2,Tokyo Yakult Swallows,1
2017-06-06,Round 0,Chiba Lotte Marines,0,Chunichi Dragons,3
2017-06-07,Round 0,Saitama Seibu Lions,3,Yomiuri Giants,0
2017-06-07,Round 0,Hokkaido Nippon-Ham Fighters,3,Hiroshima Toyo Carp,8
2017-06-07,Round 0,Fukuoka SoftBank Hawks,4,Tokyo Yakult Swallows,1
2017-06-07,Round 0,Orix Buffaloes,5,Hanshin Tigers,4
2017-06-07,Round 0,Tohoku Rakuten Golden Eagles,6,Yokohama DeNA BayStars,10
2017-06-07,Round 0,Chiba Lotte Marines,2,Chunichi Dragons,4
